PID,Fraud,DeductibleAmt,AmtReimbursed,CountOfCID,AvgAmtReimb,AvgAmtDed,CountOfBene,AvgReimbPerBene,AvgDedPerBene,AvgAge
PRV51001,No,5340,104640,25,4186,214,24,4360,223,79
PRV51003,Yes,66286,605670,132,4588,502,117,5177,567,70
PRV51004,No,310,52170,149,350,2,138,378,2,72
PRV51005,Yes,3700,280910,1165,241,3,495,567,7,70
PRV51007,No,3264,33710,72,468,45,58,581,56,69
PRV51008,No,2316,35630,43,829,54,36,990,64,76
PRV51011,No,1368,16630,58,287,24,53,314,26,74
PRV51012,No,100,16890,48,352,2,31,545,3,74
PRV51013,No,230,14880,46,323,5,44,338,5,74
PRV51014,No,120,10480,30,349,4,25,419,5,71
PRV51015,No,0,700,8,88,0,7,100,0,72
PRV51016,No,0,170,6,28,0,6,28,0,71
PRV51017,No,1050,142720,515,277,2,420,340,3,73
PRV51021,Yes,31492,348830,257,1357,123,208,1677,151,73
PRV51023,No,8624,65610,36,1823,240,35,1875,246,73
PRV51024,No,9702,64050,39,1642,249,38,1686,255,69
PRV51025,No,14284,118350,87,1360,164,76,1557,188,74
PRV51026,No,340,19840,76,261,4,56,354,6,70
PRV51027,No,0,29840,53,563,0,44,678,0,74
PRV51029,No,160,30660,93,330,2,79,388,2,71
PRV51030,No,86748,739760,171,4326,507,145,5102,598,72
PRV51031,No,30244,359720,185,1944,163,157,2291,193,73
PRV51032,No,50,5420,23,236,2,21,258,2,70
PRV51035,No,1428,32560,30,1085,48,25,1302,57,75
PRV51036,No,1410,74880,278,269,5,131,572,11,73
PRV51037,Yes,25524,342230,454,754,56,206,1661,124,72
PRV51038,No,31192,265490,141,1883,221,107,2481,292,72
PRV51040,No,8784,74470,86,866,102,69,1079,127,72
PRV51041,No,270,7410,34,218,8,31,239,9,71
PRV51042,No,310,48050,142,338,2,128,375,2,73
PRV51043,No,0,4480,23,195,0,20,224,0,75
PRV51044,No,130,21330,59,362,2,39,547,3,70
PRV51045,No,40,8390,31,271,1,29,289,1,72
PRV51046,No,8644,109370,38,2878,227,26,4207,332,73
PRV51047,No,0,2530,11,230,0,11,230,0,71
PRV51048,No,4352,27700,38,729,115,33,839,132,71
PRV51049,No,190,21720,71,306,3,65,334,3,71
PRV51052,Yes,2346,30800,46,670,51,37,832,63,72
PRV51053,No,1068,8000,1,8000,1068,1,8000,1068,69
PRV51054,No,140,15130,57,265,2,40,378,4,71
PRV51055,No,2206,21640,22,984,100,22,984,100,69
PRV51056,No,2146,14700,22,668,98,21,700,102,77
PRV51057,No,0,6830,5,1366,0,4,1708,0,79
PRV51058,No,5540,107030,83,1290,67,75,1427,74,74
PRV51059,Yes,26940,421060,96,4386,281,82,5135,329,75
PRV51060,No,5340,43710,42,1041,127,42,1041,127,72
PRV51061,No,1328,54940,145,379,9,67,820,20,77
PRV51062,No,3944,153380,397,386,10,166,924,24,73
PRV51063,No,160,51110,149,343,1,115,444,1,70
PRV51064,Yes,38948,360320,303,1189,129,227,1587,172,73
PRV51065,No,9722,76570,28,2735,347,26,2945,374,76
PRV51066,No,2236,24790,24,1033,93,21,1180,106,69
PRV51067,Yes,13096,334520,58,5768,226,49,6827,267,68
PRV51068,No,8984,143260,261,549,34,214,669,42,71
PRV51070,No,10980,125410,99,1267,111,69,1818,159,71
PRV51071,No,50,8550,24,356,2,24,356,2,69
PRV51072,No,12178,119170,212,562,57,160,745,76,73
PRV51074,No,5420,41170,39,1056,139,39,1056,139,74
PRV51075,No,70,8550,17,503,4,13,658,5,77
PRV51076,No,50,10230,29,353,2,27,379,2,76
PRV51077,Yes,16220,204350,33,6192,492,30,6812,541,71
PRV51078,No,8644,78270,23,3403,376,23,3403,376,71
PRV51081,No,7168,124080,200,620,36,131,947,55,73
PRV51082,No,70,5470,34,161,2,31,176,2,73
PRV51083,No,140,18100,90,201,2,81,223,2,75
PRV51084,Yes,21890,215580,110,1960,199,85,2536,258,73
PRV51086,No,33168,446170,139,3210,239,115,3880,288,75
PRV51089,No,18696,230900,228,1013,82,197,1172,95,72
PRV51090,No,60,5830,7,833,9,7,833,9,72
PRV51091,No,80,9270,44,211,2,44,211,2,69
PRV51093,No,2136,13710,9,1523,237,9,1523,237,76
PRV51096,No,100,3200,5,640,20,5,640,20,85
PRV51097,No,230,44420,125,355,2,71,626,3,71
PRV51098,No,0,300,4,75,0,4,75,0,83
PRV51100,No,5340,78000,5,15600,1068,5,15600,1068,71
PRV51101,No,3204,16600,3,5533,1068,3,5533,1068,58
PRV51102,No,12816,148000,12,12333,1068,11,13455,1165,80
PRV51103,Yes,60,440,6,73,10,4,110,15,78
PRV51104,No,110,1900,12,158,9,9,211,12,79
PRV51105,No,0,6540,12,545,0,12,545,0,77
PRV51108,No,19224,156000,19,8211,1012,19,8211,1012,72
PRV51109,No,3204,18000,3,6000,1068,3,6000,1068,57
PRV51110,No,5340,27000,5,5400,1068,5,5400,1068,68
PRV51111,No,200,54860,132,416,2,85,645,2,73
PRV51112,No,810,105250,304,346,3,195,540,4,72
PRV51113,No,550,46390,132,351,4,78,595,7,72
PRV51114,No,560,76720,262,293,2,160,480,4,71
